   100000.0000000000        6.8888888889        0.9100000020
   200000.0000000000        6.7545605307        0.8100000042
   300000.0000000000        6.5356550580        0.7100000065
   400000.0000000000        6.3067993367        0.6100000087
   500000.0000000000        6.1127694859        0.5100000110
   600000.0000000000        5.7578772803        0.4100000132
   700000.0000000000        5.2669983416        0.3100000154
   800000.0000000000        5.1210613599        0.2100000177
   900000.0000000000        4.8971807629        0.1100000199
  1000000.0000000000        4.8706467662        0.1000000015
