   100000.0000000000        3.9232769831        0.9100000020
   200000.0000000000        3.8491547464        0.8100000042
   300000.0000000000        3.6840052016        0.7100000065
   400000.0000000000        3.4577373212        0.6100000087
   500000.0000000000        3.2353706112        0.5100000110
   600000.0000000000        3.0039011704        0.4100000132
   700000.0000000000        2.7256176853        0.3100000154
   800000.0000000000        2.3992197659        0.2100000177
   900000.0000000000        2.1833550065        0.1100000199
  1000000.0000000000        2.1508452536        0.1000000015
